Operation,Word,Frequency,Time Taken,Input Size
Search,abandon,0.0,7.099999999995998e-06,500
Add,abandon,1000.0,4.599999999993498e-06,500
Search,abandoning,0.0,2.300000000010627e-06,500
Autocomplete,ab,,7.400000000004625e-06,500
Add,abandoning,1000000.0,3.600000000006376e-06,500
Search,abandoning,1000000.0,2.3999999999996247e-06,500
Autocomplete,ab,,5.800000000000249e-06,500
Delete,abroad,,2.000000000002e-06,500
Search,abroad,0.0,1.8000000000101268e-06,500
Autocomplete,ab,,4.600000000007376e-06,500
Add,abroad,331441.0,3.0000000000030003e-06,500
Autocomplete,ab,,5.099999999993998e-06,500
Autocomplete,distill,,2.6999999999943736e-06,500
Search,distilling,0.0,1.8999999999991248e-06,500
Add,distilling,1000.0,2.9999999999891225e-06,500
Autocomplete,distilling,,3.2000000000087514e-06,500
Delete,distilling,,2.5000000000025e-06,500
Delete,distilling,,1.8000000000101268e-06,500
Autocomplete,distill,,2.299999999996749e-06,500
Add,distribution,100000.0,2.9000000000001247e-06,500
Delete,distraction,,1.8999999999991248e-06,500
Autocomplete,dist,,2.9000000000001247e-06,500
Search,abandon,0.0,2.1499999999993743e-05,1000
Add,abandon,1000.0,6.8000000000012495e-06,1000
Search,abandoning,0.0,3.099999999991998e-06,1000
Autocomplete,ab,,8.599999999997499e-06,1000
Add,abandoning,1000000.0,4.400000000001625e-06,1000
Search,abandoning,1000000.0,6.100000000008876e-06,1000
Autocomplete,ab,,6.499999999992623e-06,1000
Delete,abroad,,2.099999999990998e-06,1000
Search,abroad,0.0,1.8999999999991248e-06,1000
Autocomplete,ab,,4.199999999995874e-06,1000
Add,abroad,331441.0,3.5000000000035003e-06,1000
Autocomplete,ab,,8.400000000005625e-06,1000
Autocomplete,distill,,6.099999999994998e-06,1000
Search,distilling,0.0,2.000000000002e-06,1000
Add,distilling,1000.0,3.2000000000087514e-06,1000
Autocomplete,distilling,,3.4000000000006247e-06,1000
Delete,distilling,,2.9000000000001247e-06,1000
Delete,distilling,,1.8999999999991248e-06,1000
Autocomplete,distill,,2.7000000000082518e-06,1000
Add,distribution,100000.0,3.2000000000087514e-06,1000
Delete,distraction,,5.199999999996874e-06,1000
Autocomplete,dist,,3.6999999999953737e-06,1000
Search,abandon,0.0,1.859999999999362e-05,5000
Add,abandon,1000.0,1.4399999999997748e-05,5000
Search,abandoning,0.0,6.599999999995498e-06,5000
Autocomplete,ab,,1.9199999999997e-05,5000
Add,abandoning,1000000.0,6.600000000009376e-06,5000
Search,abandoning,1000000.0,6.399999999989747e-06,5000
Autocomplete,ab,,1.0700000000002374e-05,5000
Delete,abroad,,3.799999999998249e-06,5000
Search,abroad,0.0,3.0000000000030003e-06,5000
Autocomplete,ab,,1.0899999999994248e-05,5000
Add,abroad,331441.0,6.8000000000012495e-06,5000
Autocomplete,ab,,1.4100000000003e-05,5000
Autocomplete,distill,,8.399999999991747e-06,5000
Search,distilling,0.0,3.4000000000006247e-06,5000
Add,distilling,1000.0,6.599999999995498e-06,5000
Autocomplete,distilling,,5.599999999994498e-06,5000
Delete,distilling,,5.199999999996874e-06,5000
Delete,distilling,,2.9000000000001247e-06,5000
Autocomplete,distill,,3.299999999997749e-06,5000
Add,distribution,100000.0,7.199999999998874e-06,5000
Delete,distraction,,3.0000000000030003e-06,5000
Autocomplete,dist,,8.099999999996998e-06,5000
Search,abandon,0.0,1.5299999999995872e-05,10000
Add,abandon,1000.0,1.0899999999994248e-05,10000
Search,abandoning,0.0,4.799999999999249e-06,10000
Autocomplete,ab,,3.340000000000287e-05,10000
Add,abandoning,1000000.0,9.399999999992747e-06,10000
Search,abandoning,1000000.0,4.5000000000045e-06,10000
Autocomplete,ab,,1.6900000000000248e-05,10000
Delete,abroad,,2.600000000005376e-06,10000
Search,abroad,0.0,2.3999999999996247e-06,10000
Autocomplete,ab,,1.6199999999993997e-05,10000
Add,abroad,331441.0,7.499999999993623e-06,10000
Autocomplete,ab,,1.7900000000001248e-05,10000
Autocomplete,distill,,4.299999999998749e-06,10000
Search,distilling,0.0,2.299999999996749e-06,10000
Add,distilling,1000.0,6.300000000000749e-06,10000
Autocomplete,distilling,,5.099999999993998e-06,10000
Delete,distilling,,4.199999999995874e-06,10000
Delete,distilling,,2.199999999993873e-06,10000
Autocomplete,distill,,2.6999999999943736e-06,10000
Add,distribution,100000.0,3.1999999999948736e-06,10000
Delete,distraction,,4.100000000006876e-06,10000
Autocomplete,dist,,5.099999999993998e-06,10000
Search,abandon,2747961.0,1.5399999999998748e-05,20000
Add,abandon,1000.0,3.600000000006376e-06,20000
Search,abandoning,0.0,2.6999999999943736e-06,20000
Autocomplete,ab,,5.789999999999962e-05,20000
Add,abandoning,1000000.0,2.189999999999137e-05,20000
Search,abandoning,1000000.0,4.799999999999249e-06,20000
Autocomplete,ab,,3.060000000000562e-05,20000
Delete,abroad,,7.000000000007001e-06,20000
Search,abroad,0.0,2.299999999996749e-06,20000
Autocomplete,ab,,2.9100000000004123e-05,20000
Add,abroad,331441.0,1.11e-05,20000
Autocomplete,ab,,2.939999999999887e-05,20000
Autocomplete,distill,,6.300000000000749e-06,20000
Search,distilling,0.0,2.6999999999943736e-06,20000
Add,distilling,1000.0,1.0099999999999e-05,20000
Autocomplete,distilling,,4.299999999998749e-06,20000
Delete,distilling,,5.599999999994498e-06,20000
Delete,distilling,,2.3999999999996247e-06,20000
Autocomplete,distill,,2.9000000000001247e-06,20000
Add,distribution,100000.0,9.5000000000095e-06,20000
Delete,distraction,,2.599999999991498e-06,20000
Autocomplete,dist,,1.4000000000000123e-05,20000
Search,abandon,0.0,2.4599999999985744e-05,50000
Add,abandon,1000.0,0.0001117999999999,50000
Search,abandoning,778900.0,1.1299999999991872e-05,50000
Autocomplete,ab,,0.0003653999999999,50000
Add,abandoning,1000000.0,4.300000000012627e-06,50000
Search,abandoning,778900.0,2.9999999999752447e-06,50000
Autocomplete,ab,,0.0001865999999999,50000
Delete,abroad,,3.4999999999896225e-06,50000
Search,abroad,0.0,3.6999999999953737e-06,50000
Autocomplete,ab,,0.0001771,50000
Add,abroad,331441.0,6.770000000000387e-05,50000
Autocomplete,ab,,0.0002128,50000
Autocomplete,distill,,1.3499999999999623e-05,50000
Search,distilling,181614.0,4.000000000004e-06,50000
Add,distilling,1000.0,2.5999999999637424e-06,50000
Autocomplete,distilling,,3.799999999998249e-06,50000
Delete,distilling,,2.6400000000037505e-05,50000
Delete,distilling,,4.800000000027005e-06,50000
Autocomplete,distill,,6.499999999964867e-06,50000
Add,distribution,100000.0,3.4800000000001496e-05,50000
Delete,distraction,,3.599999999992498e-06,50000
Autocomplete,dist,,6.960000000000299e-05,50000
Search,abandon,0.0,2.0199999999998e-05,100000
Add,abandon,1000.0,0.0001152999999999,100000
Search,abandoning,778900.0,1.0499999999996625e-05,100000
Autocomplete,ab,,0.0003275,100000
Add,abandoning,1000000.0,3.2999999999838714e-06,100000
Search,abandoning,778900.0,3.100000000005876e-06,100000
Autocomplete,ab,,0.000175,100000
Delete,abroad,,3.4999999999896225e-06,100000
Search,abroad,0.0,2.9000000000001247e-06,100000
Autocomplete,ab,,0.0001700999999999,100000
Add,abroad,331441.0,4.830000000000112e-05,100000
Autocomplete,ab,,0.0001896,100000
Autocomplete,distill,,1.4999999999987246e-05,100000
Search,distilling,181614.0,3.799999999998249e-06,100000
Add,distilling,1000.0,2.6999999999943736e-06,100000
Autocomplete,distilling,,3.900000000001125e-06,100000
Delete,distilling,,2.06000000000095e-05,100000
Delete,distilling,,5.100000000007876e-06,100000
Autocomplete,distill,,6.599999999995498e-06,100000
Add,distribution,100000.0,3.6399999999992e-05,100000
Delete,distraction,,3.799999999998249e-06,100000
Autocomplete,dist,,6.580000000000474e-05,100000
